"용량별(1)","항목",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"용량별(1)","항목",계,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
"계","대수 (대)",14768,2014,550,319,458,236,452,617,141,2877,973,1098,1013,1187,603,901,1240,89
"계","사용량 (toe)",35623520,379478,144449,273907,239423,88610,139765,2281462,30740,1785697,2683519,448726,14121216,1584529,4186475,757282,6464572,13669
"1(t/h)미만","대수 (대)",4614,629,182,70,90,68,187,94,65,899,512,144,147,790,32,279,408,18
"1(t/h)미만","사용량 (toe)",136599,13230,5924,2539,5826,1508,7264,9573,3933,22730,9840,6556,6096,9481,1306,24121,6657,15
"1~3(t/h)","대수 (대)",4086,535,118,89,149,56,138,167,29,755,230,425,287,156,374,235,317,26
"1~3(t/h)","사용량 (toe)",526406,35147,12032,13456,21404,9636,11478,22084,3226,141640,20025,67987,53672,20002,17339,39917,35216,2145
"3~5(t/h)","대수 (대)",2113,314,92,41,92,31,48,45,15,471,122,230,196,61,35,178,127,15
"3~5(t/h)","사용량 (toe)",482484,37343,14342,10999,24874,10643,5676,25089,2310,98055,19539,53457,76866,10542,13197,59208,18399,1945
"5~10(t/h)","대수 (대)",1614,313,74,72,54,26,25,39,16,317,65,166,140,71,39,75,107,15
"5~10(t/h)","사용량 (toe)",708121,57459,20308,21092,22685,11345,6707,43751,8553,153400,20297,83657,78646,40108,36311,60193,37181,6427
"10~20(t/h)","대수 (대)",913,116,54,22,28,22,27,102,7,140,24,77,75,48,21,79,64,7
"10~20(t/h)","사용량 (toe)",629979,52109,29023,11844,22193,25570,16893,81173,7284,96214,7729,52417,49798,54516,26615,52925,40694,2982
"20~50(t/h)","대수 (대)",735,55,11,15,28,7,16,54,6,158,5,46,52,41,26,32,183,-
"20~50(t/h)","사용량 (toe)",1206041,13296,4256,30552,62230,25682,22551,306655,1595,251651,17495,101964,113329,38889,140954,15724,59220,-
"50~100(t/h)","대수 (대)",235,30,8,-,3,25,3,36,1,56,3,3,21,5,23,9,9,-
"50~100(t/h)","사용량 (toe)",937876,10878,41421,-,14254,4175,7921,339582,526,118403,228,7541,10135,3757,299353,48169,31534,-
"100(t/h)이상","대수 (대)",458,22,11,10,14,1,8,80,2,81,12,7,95,15,53,14,25,8
"100(t/h)이상","사용량 (toe)",30996014,160017,17144,183423,65959,51,61275,1453554,3312,903605,2588366,75147,13732674,1407234,3651399,457025,6235672,155
